Name	Half-life (h)
Cct3	7.498369066
Cct4	5.808629073
Cct4	4.566007925
Cct6a	5.45068208
Cct6a	4.757590661
Cct7	7.458295593
Cd151	7.868227907
Cd164	4.041613575
Cd24a	2.920872321
Cd320	4.343964424
Cd38	1.176701343
Cd63	9.92555394
Cd81	4.944102295
Cdc16	4.761248494
Cdc25a	1.401826478
Cdc25a	2.076175435
Cdc25b	4.932839447
Cdc34	4.747039092
Cdc42bpg	2.88025007
Cdc42se1	1.99097128
Cdc6	2.654190276
Cdc7	2.642710401
Cdca3	3.808611965
Cdca3	4.892616295
Cdca5	2.13208027
Cdca7	3.398354147
Cdca7l	3.296674744
Cdh1	4.837761344
Cdipt	2.962803661
Cdk10	5.065933588
Cdk11b	6.032084059
Cdk12	2.778637972
Cdk16	4.935767125
Cdk17	2.606932941
Cdk2ap2	4.419728754
Cdk4	8.037470764
Cdk8	3.648364453
Cdkn1a	1.405310112
Cdkn2aipnl	4.963460612
Cds2	5.025073097
Cds2	1.903953496
Cdt1	2.665066664
Cdyl	1.668200684
Cecr2	4.080862277
Celf1	5.871886455
Cenpa	6.086826577
Cenpe	3.436839232
Cenpi	3.350266865
Cenpl	2.4554741
Cenpn	4.643022332
Cep104	1.558842757
Cep170b	2.953116258
Cep19	5.312874747
Cep192	3.107345915
Cep55	1.868803855
Cep70	3.716477318
Cers2	3.997324801
Cers6	5.213476358
Cetn3	7.26347538
Cfl1	10.07964771
Cggbp1	2.057156527
Chac1	0.679367471
Chaf1a	2.291358159
Chaf1b	4.48864285
Champ1	1.903932342
Chchd1	5.899538178
Chchd10	12.30512487
Chchd5	1.768610378
Chd4	6.492260849
Chd9	0.93507471
Chek2	4.220570625
Chfr	5.061484613
Chic1	2.420129973
Chka	3.02667132
Chmp3	7.509276729
Chmp3	4.140196399
Chmp4b	6.128405524
Chmp4b	6.19211516
Chmp4c	3.853011004
Chmp5	4.818761632
Chmp6	2.834325602
Chordc1	4.11232975
Chp1	5.502304112
Chrac1	5.387525538
Chrna9	2.607409278
Cic	3.050904688
Cipc	1.831249461
Cirbp	2.962057425
Cisd3	5.410769238
Cit	2.216007465
Cited2	1.259103769
Ckap5	2.923178203
Cklf	4.447458282
Cks2	3.48565338
Clasp1	3.079008893
Clcc1	4.207908208
Clcn7	2.140364811
Clic1	4.627129851
Clint1	5.305194382
Clk2-scamp3	5.561085371
Clk4	1.948585931
Clmp	3.580192911
